playerId,fullName,menuName,nationality,birthDate,height,weight,handCode,positionCode,number,teamId
8480341,Adam Johnson,Adam Johnson,USA,1994-06-22,72,174,L,C,47,5
8483609,Adam Klapka,Adam Klapka,CZE,2000-09-14,80,235,R,R,43,20
8476457,Adam Larsson,Adam Larsson,SWE,1992-11-12,75,207,R,D,6,55
8476392,Adam Lowry,Adam Lowry,USA,1993-03-29,77,210,L,C,17,52
8471717,Adam McQuaid,Adam McQuaid,CAN,1986-10-12,76,210,R,D,54,29
8471385,Adam Pardy,Adam Pardy,CAN,1984-03-29,76,227,L,D,5,18
8476522,Adam Payerl,Adam Payerl,CAN,1991-03-04,75,218,R,C,45,18
8476917,Adam Pelech,Adam Pelech,CAN,1994-08-16,75,212,L,D,3,2
8482197,Adam Raska,Adam Raska,CZE,2001-09-25,70,178,R,R,51,30
8480008,Adam Ruzicka,Adam Ruzicka,SVK,1999-05-11,76,215,L,C,83,53
8479530,Adam Werner,Adam Werner,SWE,1997-05-02,77,205,L,G,35,20
8476330,Adam Wilcox,Adam Wilcox,USA,1992-11-26,72,189,L,G,32,7
8482482,Adam Wilsby,Adam Wilsby,SWE,2000-08-07,73,188,L,D,83,18
8478499,Adin Hill,Adin Hill,CAN,1996-05-11,76,222,L,G,33,54
8459053,Adrian Aucoin,Adrian Aucoin,CAN,1973-07-03,74,215,R,D,33,29
8477960,Adrian Kempe,Adrian Kempe,SWE,1996-09-13,74,205,L,R,9,26
8481683,Aidan McDonough,Aidan McDonough,USA,1999-11-06,75,190,L,L,25,23
8480851,Akil Thomas,Akil Thomas,CAN,2000-01-02,72,195,R,C,NA,19
8474049,Akim Aliu,Akim Aliu,NGA,1989-04-24,76,225,R,R,29,20
8481033,Akira Schmid,Akira Schmid,CHE,2000-05-12,77,190,L,G,40,54
8484254,Akito Hirose,Akito Hirose,CAN,1999-04-09,72,170,L,D,41,23
8481699,Aku Raty,Aku Raty,FIN,2001-07-05,72,170,R,R,85,16
8471219,Al Montoya,Al Montoya,USA,1985-02-13,74,200,L,G,35,22
8476409,Alan Quine,Alan Quine,CAN,1993-02-25,72,203,L,C,26,22
8481607,Albert Johansson,Albert Johansson,SWE,2001-01-04,72,195,L,D,20,17
8474166,Alec Martinez,Alec Martinez,USA,1987-07-26,73,210,L,D,25,16
8480831,Alec Regula,Alec Regula,USA,2000-08-06,76,211,R,D,75,22
8477493,Aleksander Barkov,Aleksander Barkov,FIN,1995-09-02,75,214,L,C,16,13
8483463,Aleksanteri Kaskimaki,Aleksanteri Kaskimaki,FIN,2004-02-06,72,195,L,C,65,19
8482783,Aleksei Kolosov,Aleksei Kolosov,BLR,2002-01-04,73,185,L,G,35,4
8480037,Aleksi Heponiemi,Aleksi Heponiemi,FIN,1999-01-09,70,155,L,C,20,13
8478839,Aleksi Saarela,Aleksi Saarela,FIN,1997-01-07,70,200,L,C,28,13
8469466,Ales Hemsky,Ales Hemsky,CZE,1983-08-13,72,177,R,R,83,8
8478848,Ales Stezka,Ales Stezka,CZE,1997-01-06,76,190,L,G,30,55
8467913,Alex Auld,Alex Auld,CAN,1981-01-07,76,215,L,G,35,9
8479718,Alex Barré-Boulet,Alex Barré-Boulet,CAN,1997-05-21,70,178,L,C,NA,21
8475968,Alex Belzile,Alex Belzile,CAN,1991-08-31,72,198,R,R,60,8
8473415,Alex Biega,Alex Biega,CAN,1988-04-04,70,195,R,D,33,18
8476283,Alex Broadhurst,Alex Broadhurst,USA,1993-03-07,72,178,L,C,25,52
8475163,Alex Chiasson,Alex Chiasson,CAN,1990-10-01,76,208,R,R,48,17
8479337,Alex DeBrincat,Alex DeBrincat,USA,1997-12-18,68,180,R,R,93,17
8480029,Alex Formenton,Alex Formenton,CAN,1999-09-13,75,195,L,L,10,9
8475836,Alex Friesen,Alex Friesen,CAN,1991-01-30,69,186,L,C,53,19
8476851,Alex Galchenyuk,Alex Galchenyuk,USA,1994-02-12,73,194,L,C,17,53
8471274,Alex Goligoski,Alex Goligoski,USA,1985-07-30,71,173,L,D,33,30
8474005,Alex Grant,Alex Grant,CAN,1989-01-20,75,210,R,D,28,30
8480113,Alex Iafallo,Alex Iafallo,USA,1993-12-21,72,201,L,L,9,52
8476435,Alex Khokhlachev,Alex Khokhlachev,RUS,1993-09-09,70,181,L,C,76,6
8473986,Alex Killorn,Alex Killorn,CAN,1989-09-14,73,205,L,L,17,24
8458529,Alex Kovalev,Alex Kovalev,RUS,1973-02-24,74,222,L,R,27,13
8482155,Alex Laferriere,Alex Laferriere,USA,2001-10-28,73,205,R,R,14,26
8479312,Alex Lyon,Alex Lyon,USA,1992-12-09,73,199,L,G,34,7
8477968,Alex Nedeljkovic,Alex Nedeljkovic,USA,1996-01-07,72,205,L,G,33,28
8481618,Alex Newhook,Alex Newhook,CAN,2001-01-28,71,200,L,C,15,8
8471214,Alex Ovechkin,Alex Ovechkin,RUS,1985-09-17,75,238,R,L,8,15
8474565,Alex Pietrangelo,Alex Pietrangelo,CAN,1990-01-18,75,215,R,D,7,54
8474046,Alex Plante,Alex Plante,CAN,1989-05-09,76,230,R,D,48,22
8471774,Alex Stalock,Alex Stalock,USA,1987-07-28,71,170,L,G,32,24
8482634,Alex Steeves,Alex Steeves,USA,1999-12-10,72,199,L,C,21,6
8467338,Alex Tanguay,Alex Tanguay,CAN,1979-11-21,73,194,L,L,40,53
8477949,Alex Tuch,Alex Tuch,USA,1996-05-10,76,219,R,R,89,7
8481532,Alex Turcotte,Alex Turcotte,USA,2001-02-26,71,195,L,C,15,26
8481568,Alex Vlasic,Alex Vlasic,USA,2001-06-05,78,217,L,D,72,16
8480382,Alexandar Georgiev,Alexandar Georgiev,RUS,1996-02-10,73,178,L,G,40,7
8480823,Alexander Alexeyev,Alexander Alexeyev,RUS,1999-11-15,76,230,L,D,56,5
8482222,Alexander Barabanov,Alexander Barabanov,RUS,1994-06-17,70,195,L,L,94,28
8475788,Alexander Burmistrov,Alexander Burmistrov,RUS,1991-10-21,73,180,L,C,42,23
8471303,Alexander Edler,Alexander Edler,SWE,1986-04-21,76,210,L,D,2,26
8482125,Alexander Holtz,Alexander Holtz,SWE,2002-01-23,72,198,R,R,26,54
8477021,Alexander Kerfoot,Alexander Kerfoot,CAN,1994-08-11,71,185,L,C,15,68
8482100,Alexander Nikishin,Alexander Nikishin,RUS,2001-10-02,75,218,L,D,21,12
8479423,Alexander Nylander,Alexander Nylander,SWE,1998-03-02,73,205,R,L,92,10
8475755,Alexander Petrovic,Alexander Petrovic,CAN,1992-03-03,77,215,R,D,28,25
8471228,Alexander Radulov,Alexander Radulov,RUS,1986-07-05,73,200,L,R,47,25
8481014,Alexander Romanov,Alexander Romanov,RUS,2000-01-06,73,220,L,D,28,2
8470120,Alexander Semin,Alexander Semin,RUS,1984-03-03,74,211,R,R,13,8
8470257,Alexander Steen,Alexander Steen,SWE,1984-03-01,72,211,L,L,20,19
8470685,Alexander Sulzer,Alexander Sulzer,DEU,1984-05-30,73,198,L,D,52,7
8480384,Alexander True,Alexander True,DNK,1997-07-17,77,213,L,C,20,13
8475248,Alexander Urbom,Alexander Urbom,SWE,1990-12-20,76,215,L,D,33,1
8480186,Alexander Volkov,Alexander Volkov,RUS,1997-08-02,73,195,L,R,92,24
8477505,Alexander Wennberg,Alexander Wennberg,SWE,1994-09-22,74,190,L,C,21,28
8481630,Alexander Yelesin,Alexander Yelesin,RUS,1996-02-07,72,195,R,D,45,20
8470719,Alexandre Bolduc,Alexandre Bolduc,CAN,1985-06-26,75,200,L,C,49,53
8470358,Alexandre Burrows,Alexandre Burrows,CAN,1981-04-11,73,197,L,R,14,9
8478851,Alexandre Carrier,Alexandre Carrier,CAN,1996-10-08,71,174,R,D,45,8
8479657,Alexandre Fortin,Alexandre Fortin,CAN,1997-02-25,72,184,L,L,84,16
8468086,Alexandre Giroux,Alexandre Giroux,CAN,1981-06-16,75,208,L,L,28,29
8476414,Alexandre Grenier,Alexandre Grenier,CAN,1991-09-05,77,200,R,R,28,13
8470678,Alexandre Picard,Alexandre Picard,CAN,1985-07-05,75,215,L,D,54,5
8480074,Alexandre Texier,Alexandre Texier,FRA,1999-09-13,73,196,L,L,85,8
8471296,Alexei Emelin,Alexei Emelin,RUS,1986-04-25,74,218,L,D,25,18
8482246,Alexei Melnichuk,Alexei Melnichuk,RUS,1998-06-29,73,201,L,G,1,14
8467412,Alexei Ponikarovsky,Alexei Ponikarovsky,UKR,1980-04-09,76,225,L,L,12,1
8476289,Alexey Marchenko,Alexey Marchenko,RUS,1992-01-02,75,210,R,D,3,10
8480281,Alexey Toropchenko,Alexey Toropchenko,RUS,1999-06-25,78,225,L,R,13,19
8482109,Alexis Lafrenière,Alexis Lafrenière,CAN,2001-10-11,74,191,L,L,13,3
8481656,Aliaksei Protas,Aliaksei Protas,BLR,2001-01-06,78,250,L,C,21,15
8474057,Allen York,Allen York,CAN,1989-06-17,75,188,L,G,41,14
8478075,Anders Bjork,Anders Bjork,USA,1996-08-05,72,190,L,L,24,16
8475314,Anders Lee,Anders Lee,USA,1990-07-03,75,234,L,L,27,2
8474765,Anders Lindback,Anders Lindback,SWE,1988-05-03,78,215,L,G,39,18
8475195,Anders Nilsson,Anders Nilsson,SWE,1990-03-19,78,232,L,G,NA,14
8470378,Andre Benoit,Andre Benoit,CAN,1984-01-06,71,190,L,D,48,29
8477444,Andre Burakovsky,Andre Burakovsky,SWE,1995-02-09,75,203,L,L,28,16
8470301,Andre Deveaux,Andre Deveaux,BHS,1984-02-23,75,239,R,C,56,13
8481732,Andre Lee,Andre Lee,SWE,2000-07-26,76,210,L,L,47,26
8474670,Andre Petersson,Andre Petersson,SWE,1990-09-11,69,175,R,R,20,24
8476960,Andreas Athanasiou,Andreas Athanasiou,CAN,1994-08-06,74,190,L,C,89,16
8480158,Andreas Borgman,Andreas Borgman,SWE,1995-06-18,72,200,L,D,6,25
8477971,Andreas Englund,Andreas Englund,SWE,1996-01-21,76,200,L,D,8,18
8475372,Andreas Engqvist,Andreas Engqvist,SWE,1987-12-23,76,199,R,C,63,8
8477341,Andreas Johnsson,Andreas Johnsson,SWE,1994-11-21,70,195,L,L,18,5
8468534,Andreas Lilja,Andreas Lilja,SWE,1975-07-13,75,220,L,D,6,4
8478561,Andreas Martinsen,Andreas Martinsen,NOR,1990-06-13,74,225,L,L,23,5
8473568,Andreas Nodl,Andreas Nodl,AUT,1987-02-28,73,196,L,R,14,12
8481642,Andrei Chibisov,Andrei Chibisov,RUS,1993-02-26,76,227,L,R,76,52
8470603,Andrei Kostitsyn,Andrei Kostitsyn,BLR,1985-02-03,72,214,L,L,46,18
8483808,Andrei Kuzmenko,Andrei Kuzmenko,RUS,1996-02-04,71,200,R,L,96,26
8474681,Andrei Loktionov,Andrei Loktionov,RUS,1990-05-30,71,190,L,C,8,12
8467496,Andrei Markov,Andrei Markov,RUS,1978-12-20,72,200,L,D,79,8
8478842,Andrei Mironov,Andrei Mironov,RUS,1994-07-29,75,194,L,D,94,21
8480830,Andrei Svechnikov,Andrei Svechnikov,RUS,2000-03-26,75,200,L,R,37,12
8476883,Andrei Vasilevskiy,Andrei Vasilevskiy,RUS,1994-07-25,76,223,L,G,88,14
8471236,Andrej Meszaros,Andrej Meszaros,SVK,1985-10-13,74,223,L,D,41,7
8475250,Andrej Nestrasil,Andrej Nestrasil,CZE,1991-02-22,75,200,L,C,15,12
8471284,Andrej Sekera,Andrej Sekera,SVK,1986-06-08,72,200,L,D,5,25
8477205,Andrej Sustr,Andrej Sustr,CZE,1990-11-29,79,217,R,D,29,28
8475461,Andrew Agozzino,Andrew Agozzino,CAN,1991-01-03,70,187,L,L,36,68
8469626,Andrew Alberts,Andrew Alberts,USA,1981-06-30,77,218,L,D,41,23
8473550,Andrew Bodnarchuk,Andrew Bodnarchuk,CAN,1988-07-11,71,195,L,D,44,25
8459596,Andrew Brunette,Andrew Brunette,CAN,1973-08-24,73,215,L,L,15,16
8474638,Andrew Campbell,Andrew Campbell,CAN,1988-02-04,76,205,L,D,6,16
8471699,Andrew Cogliano,Andrew Cogliano,CAN,1987-06-14,70,179,L,C,11,21
8477429,Andrew Copp,Andrew Copp,USA,1994-07-08,73,200,L,C,18,17
8476020,Andrew Crescenzi,Andrew Crescenzi,CAN,1992-07-29,77,207,L,C,47,26
8471956,Andrew Desjardins,Andrew Desjardins,CAN,1986-07-27,73,195,L,L,11,16
8473682,Andrew Ebbett,Andrew Ebbett,CAN,1983-01-02,69,174,L,C,25,5
8466333,Andrew Ference,Andrew Ference,CAN,1979-03-17,71,182,L,D,21,22
8471409,Andrew Gordon,Andrew Gordon,CAN,1985-12-13,72,194,R,R,20,4
8477202,Andrew Hammond,Andrew Hammond,CAN,1988-02-11,74,215,L,G,35,1
8470838,Andrew Joudrey,Andrew Joudrey,CAN,1984-07-15,70,185,L,C,29,29
8471217,Andrew Ladd,Andrew Ladd,CAN,1985-12-12,75,205,L,L,16,53
8473584,Andrew MacDonald,Andrew MacDonald,CAN,1986-09-07,73,204,L,D,47,4
8474748,Andrew MacWilliam,Andrew MacWilliam,CAN,1990-03-25,74,223,L,D,27,1
8478233,Andrew Mangiapane,Andrew Mangiapane,CAN,1996-04-04,70,183,L,L,88,22
8477249,Andrew Miller,Andrew Miller,USA,1988-09-18,70,181,R,C,72,12
8469685,Andrew Murray,Andrew Murray,CAN,1981-11-06,74,210,L,C,23,19
8479369,Andrew Peeke,Andrew Peeke,USA,1998-03-17,75,214,R,D,26,6
8479249,Andrew Poturalski,Andrew Poturalski,USA,1994-01-14,70,187,R,C,22,28
8467453,Andrew Raycroft,Andrew Raycroft,CAN,1980-05-04,73,180,L,G,30,25
8476381,Andrew Shaw,Andrew Shaw,CAN,1991-07-20,71,182,R,R,65,16
8477092,Andrey Makarov,Andrey Makarov,RUS,1993-04-20,74,194,L,G,1,7
8476388,Andrey Pedan,Andrey Pedan,LTU,1993-07-03,77,213,L,D,73,5
8476404,Andy Andreoff,Andy Andreoff,CAN,1991-05-17,73,208,L,C,18,2
8472382,Andy Greene,Andy Greene,USA,1982-10-30,71,190,L,D,4,2
8468434,Andy McDonald,Andy McDonald,CAN,1977-08-25,70,175,L,C,10,19
8476206,Andy Miele,Andy Miele,USA,1988-04-15,67,169,L,C,21,53
8467304,Andy Sutton,Andy Sutton,CAN,1975-03-10,78,245,L,D,25,22
8476407,Andy Welinski,Andy Welinski,USA,1993-04-27,74,212,R,D,32,19
8481065,Angus Crookshank,Angus Crookshank,CAN,1999-10-02,70,183,L,C,36,1
8478074,Anthony Angello,Anthony Angello,USA,1996-03-06,77,210,R,C,NA,14
8478463,Anthony Beauvillier,Anthony Beauvillier,CAN,1997-06-08,71,181,L,L,72,15
8475868,Anthony Bitetto,Anthony Bitetto,USA,1990-07-15,73,222,L,D,2,13
8478519,Anthony Cirelli,Anthony Cirelli,CAN,1997-07-15,73,193,L,C,71,14
8477407,Anthony Duclair,Anthony Duclair,CAN,1995-08-26,72,198,L,L,11,2
8479447,Anthony Greco,Anthony Greco,USA,1993-09-30,70,179,R,R,28,3
8477511,Anthony Mantha,Anthony Mantha,CAN,1994-09-16,77,240,L,R,39,5
8474061,Anthony Peluso,Anthony Peluso,CAN,1989-04-18,75,225,R,R,16,20
8478409,Anthony Richard,Anthony Richard,CAN,1996-12-20,70,185,L,C,90,4
8470618,Anthony Stewart,Anthony Stewart,CAN,1985-01-05,75,230,R,R,21,26
8476932,Anthony Stolarz,Anthony Stolarz,USA,1994-01-20,78,248,L,G,41,10
8477312,Antoine Bibeau,Antoine Bibeau,CAN,1994-05-01,75,205,L,G,30,9
8474849,Antoine Roussel,Antoine Roussel,FRA,1989-11-21,71,200,L,L,26,53
8468535,Antoine Vermette,Antoine Vermette,CAN,1982-07-20,73,197,L,C,50,24
8470265,Anton Babchuk,Anton Babchuk,UKR,1984-05-06,77,200,R,D,33,20
8477289,Anton Belov,Anton Belov,RUS,1986-07-29,76,218,L,D,77,22
8477320,Anton Blidh,Anton Blidh,SWE,1995-03-14,73,191,L,L,25,3
8476341,Anton Forsberg,Anton Forsberg,SWE,1992-11-27,75,200,L,G,31,26
8471418,Anton Khudobin,Anton Khudobin,RUS,1986-05-07,71,210,L,G,31,16
8475165,Anton Lander,Anton Lander,SWE,1991-04-24,72,184,L,C,51,22
8483641,Anton Levtchi,Anton Levtchi,FIN,1995-11-28,72,185,L,L,76,13
8478073,Anton Lindholm,Anton Lindholm,SWE,1994-11-29,71,191,L,D,54,16
8482113,Anton Lundell,Anton Lundell,FIN,2001-10-03,73,196,L,C,15,13
8475210,Anton Rodin,Anton Rodin,SWE,1990-11-21,72,186,L,R,38,24
8477415,Anton Slepyshev,Anton Slepyshev,RUS,1994-05-13,74,221,R,L,58,22
8471873,Anton Stralman,Anton Stralman,SWE,1986-08-01,71,193,R,D,86,6
8468501,Anton Volchenkov,Anton Volchenkov,RUS,1982-02-25,73,220,L,D,20,18
8481637,Anton Wedin,Anton Wedin,SWE,1993-03-01,71,195,L,L,57,16
8468704,Antti Miettinen,Antti Miettinen,FIN,1980-07-03,72,190,R,R,20,52
8474550,Antti Niemi,Antti Niemi,FIN,1983-08-29,74,209,L,G,37,8
8477293,Antti Raanta,Antti Raanta,FIN,1989-05-12,72,195,L,G,32,12
8480965,Antti Suomela,Antti Suomela,FIN,1994-03-17,72,180,L,C,40,10
8471685,Anze Kopitar,Anze Kopitar,SVN,1987-08-24,75,225,L,C,11,26
8482964,Arber Xhekaj,Arber Xhekaj,CAN,2001-01-30,76,240,L,D,72,8
8480242,Arnaud Durandeau,Arnaud Durandeau,CAN,1999-01-14,72,185,L,L,NA,8
8465025,Arron Asham,Arron Asham,CAN,1978-04-13,71,210,R,R,45,3
8481721,Arseny Gritsyuk,Arseny Gritsyuk,RUS,2001-03-15,72,195,L,R,81,1
8483395,Arshdeep Bains,Arshdeep Bains,CAN,2001-01-09,72,184,L,L,13,23
8473573,Artem Anisimov,Artem Anisimov,RUS,1988-05-24,76,199,L,C,51,9
8482245,Artem Zub,Artem Zub,RUS,1995-10-03,75,201,R,D,2,9
8481552,Artemi Kniazev,Artemi Kniazev,RUS,2001-01-04,71,178,L,D,65,52
8478550,Artemi Panarin,Artemi Panarin,RUS,1991-10-30,72,176,R,L,10,26
8481560,Arthur Kaliyev,Arthur Kaliyev,USA,2001-06-26,74,212,L,R,34,9
8484938,Arttu Hyry,Arttu Hyry,FIN,2001-04-06,75,211,R,R,25,25
8481626,Arttu Ruotsalainen,Arttu Ruotsalainen,FIN,1997-10-29,69,187,L,C,NA,7
8477476,Artturi Lehkonen,Artturi Lehkonen,FIN,1995-07-04,71,179,L,L,62,21
8482515,Artur Akhtyamov,Artur Akhtyamov,RUS,2001-10-31,74,176,L,G,70,10
8473459,Arturs Kulda,Arturs Kulda,LVA,1988-07-25,74,215,L,D,23,52
8481668,Arturs Silovs,Arturs Silovs,LVA,2001-03-22,76,208,L,G,37,5
8484783,Artyom Levshunov,Artyom Levshunov,BLR,2005-10-28,74,208,R,D,55,16
8481501,Artyom Zagidulin,Artyom Zagidulin,RUS,1995-08-08,74,180,L,G,50,20
8482821,Arvid Soderblom,Arvid Soderblom,SWE,1999-08-19,75,180,L,G,40,16
8477085,Ashton Sautner,Ashton Sautner,CAN,1994-05-27,73,192,L,D,61,52
8478512,Austin Czarnik,Austin Czarnik,USA,1992-12-12,69,170,R,C,21,17
8478040,Austin Poganski,Austin Poganski,USA,1996-02-16,73,206,R,R,27,53
8480467,Austin Strand,Austin Strand,CAN,1997-02-17,75,215,R,D,48,7
8478455,Austin Wagner,Austin Wagner,CAN,1997-06-23,73,195,L,L,26,5
8475766,Austin Watson,Austin Watson,USA,1992-01-13,76,203,R,L,24,17
8479318,Auston Matthews,Auston Matthews,USA,1997-09-17,75,215,L,C,34,10
8482993,Avery Hayes,Avery Hayes,USA,2002-10-10,70,180,R,R,85,5
8479536,Axel Jonsson-Fjallby,Axel Jonsson-Fjallby,SWE,1998-02-10,73,189,L,L,71,52
8484223,Axel Sandin-Pellikka,Axel Sandin-Pellikka,SWE,2005-03-11,72,186,R,D,44,17
8484234,Aydar Suniev,Aydar Suniev,RUS,2004-11-16,74,198,L,L,36,20
8470647,B.J. Crombeen,B.J. Crombeen,USA,1985-07-10,74,209,R,R,44,53
8476624,Barclay Goodrow,Barclay Goodrow,CAN,1993-02-26,74,210,L,C,23,28
8467890,Barret Jackman,Barret Jackman,CAN,1981-03-05,72,203,L,D,5,18
8480849,Barrett Hayton,Barrett Hayton,CAN,2000-06-09,73,200,L,C,27,68
8475761,Beau Bennett,Beau Bennett,USA,1991-11-27,74,195,R,R,78,53
8479359,Beck Malenstyn,Beck Malenstyn,CAN,1998-02-04,75,209,L,L,29,7
8484762,Beckett Sennecke,Beckett Sennecke,CAN,2006-01-28,75,206,R,R,45,24
8471750,Ben Bishop,Ben Bishop,USA,1986-11-21,79,210,L,G,NA,7
8475279,Ben Chiarot,Ben Chiarot,CAN,1991-05-09,75,222,L,D,8,17
8470280,Ben Eager,Ben Eager,CAN,1984-01-22,74,226,L,L,55,22
8479416,Ben Gleason,Ben Gleason,USA,1998-03-25,73,190,L,D,6,30
8475196,Ben Hanowski,Ben Hanowski,USA,1990-10-18,74,210,L,R,58,20
8477433,Ben Harpur,Ben Harpur,CAN,1995-01-12,80,235,L,D,12,3
8475603,Ben Holmstrom,Ben Holmstrom,USA,1987-04-09,73,203,R,C,26,2
8477018,Ben Hutton,Ben Hutton,CAN,1993-04-20,75,209,L,D,17,54
8480259,Ben Jones,Ben Jones,CAN,1999-02-26,72,187,L,C,39,30
8485414,Ben Kindel,Ben Kindel,CAN,2007-04-19,71,182,R,C,81,5
8473933,Ben Lovejoy,Ben Lovejoy,USA,1984-02-20,73,205,R,D,21,25
8473493,Ben Maxwell,Ben Maxwell,CAN,1988-03-30,73,195,L,C,49,52
8481827,Ben McCartney,Ben McCartney,CAN,2001-07-13,72,182,L,L,62,68
8483570,Ben Meyers,Ben Meyers,USA,1998-11-15,71,194,L,C,59,55
8475681,Ben Scrivens,Ben Scrivens,CAN,1986-09-11,74,181,L,G,40,8
8475328,Ben Sexton,Ben Sexton,CAN,1991-06-06,71,196,R,C,NA,5
8474727,Ben Smith,Ben Smith,USA,1988-07-11,71,203,R,R,18,10
8476043,Ben Street,Ben Street,CAN,1987-02-13,72,190,L,C,36,1
8478049,Ben Thomas,Ben Thomas,CAN,1996-05-28,73,187,R,D,56,14
8476526,Ben Thomson,Ben Thomson,CAN,1993-01-16,75,205,L,L,43,1
8473600,Benn Ferriero,Benn Ferriero,USA,1987-04-29,71,195,R,R,77,19
8471678,Benoit Pouliot,Benoit Pouliot,CAN,1986-09-29,75,200,L,L,67,7
8484800,Berkly Catton,Berkly Catton,CAN,2006-01-14,70,179,L,C,27,55
8475833,Bill Arnold,Bill Arnold,USA,1992-05-13,72,193,R,C,46,20
8474035,Bill Sweatt,Bill Sweatt,USA,1988-09-21,72,190,L,L,42,23
8472361,Bill Thomas,Bill Thomas,USA,1983-06-20,73,185,R,R,37,21
8482399,Billy Sweezey,Billy Sweezey,USA,1996-02-06,73,202,R,D,58,6
8471767,Blair Jones,Blair Jones,CAN,1986-09-27,74,216,R,C,42,23
8476399,Blake Coleman,Blake Coleman,USA,1991-11-28,71,199,L,L,20,20
8471260,Blake Comeau,Blake Comeau,CAN,1986-02-18,73,200,R,L,15,25
8473608,Blake Geoffrion,Blake Geoffrion,USA,1988-02-03,73,190,L,C,57,8
8479595,Blake Hillman,Blake Hillman,USA,1996-01-26,73,193,L,D,55,16
8481481,Blake Lizotte,Blake Lizotte,USA,1997-12-13,69,176,L,C,46,5
8476370,Blake Pietila,Blake Pietila,USA,1993-02-20,71,200,L,L,56,24
8478480,Blake Speers,Blake Speers,CAN,1997-01-02,71,185,R,C,39,53
8471218,Blake Wheeler,Blake Wheeler,USA,1986-08-31,77,222,R,R,17,3
8480870,Bo Groulx,Bo Groulx,CAN,2000-02-06,74,202,L,C,21,10
8477500,Bo Horvat,Bo Horvat,CAN,1995-04-05,73,225,L,C,14,2
8481553,Bobby Brink,Bobby Brink,USA,2001-07-08,68,169,R,R,10,4
8475637,Bobby Butler,Bobby Butler,USA,1987-04-26,72,189,R,R,26,13
8476769,Bobby Farnham,Bobby Farnham,USA,1989-01-21,70,190,L,R,44,8
8482259,Bobby McMann,Bobby McMann,CAN,1996-06-15,74,217,L,C,74,10
8472365,Bobby Robins,Bobby Robins,USA,1981-10-17,73,220,R,R,64,6
8471676,Bobby Ryan,Bobby Ryan,USA,1987-03-17,74,208,R,R,54,17
8473610,Bobby Sanguinetti,Bobby Sanguinetti,USA,1988-02-29,75,188,R,D,24,7
8480955,Bogdan Kiselevich,Bogdan Kiselevich,RUS,1990-02-14,72,202,L,D,52,52
8482167,Bogdan Trineyev,Bogdan Trineyev,RUS,2002-03-04,75,198,R,R,87,15
8477410,Bogdan Yakimov,Bogdan Yakimov,RUS,1994-10-04,77,232,L,C,NA,22
8478147,Bokondji Imama,Bokondji Imama,CAN,1996-08-03,73,223,L,L,14,5
8476922,Boo Nieves,Boo Nieves,USA,1994-01-23,75,214,L,C,59,14
8476432,Boone Jenner,Boone Jenner,CAN,1993-06-15,74,204,L,C,38,29
8479383,Boris Katchouk,Boris Katchouk,CAN,1998-06-18,74,212,L,L,61,30
